Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
1201,2001-10-12,NLDS,3,ARI,STL,W 5-3,40,32,5,9,0,0,2,5,6,0,5,0,2,0,0,0,0,1,0.265,0.268,1.076,8,15,"52,273",216
1202,2001-10-12,NLDS,3,ATL,HOU,W 6-2,33,31,6,10,2,0,3,6,1,0,4,0,1,0,0,1,0,1,0.181,1.669,.450,3,14,"39,923",153
1203,2001-10-12,NLDS,3,HOU,ATL,L 2-6,35,33,2,6,2,0,1,2,2,0,7,0,0,0,0,0,0,0,-0.319,-2.873,.788,6,15,"39,923",153
1204,2001-10-12,NLDS,3,STL,ARI,L 3-5,36,31,3,6,0,0,2,3,4,0,6,0,1,0,0,1,2,0,-0.234,-1.731,1.631,6,16,"52,273",216
1205,2001-10-11,ALDS,2,CLE,SEA,L 1-5,34,32,1,6,0,0,0,0,2,0,7,0,0,0,0,1,0,0,-0.253,-3.632,.609,6,9,"48,052",161
1206,2001-10-11,ALDS,2,NYY,OAK,L 0-2,35,33,0,7,1,0,0,0,2,0,4,0,0,0,0,0,0,0,-0.761,-4.984,1.801,8,10,"56,684",204
1207,2001-10-11,ALDS,2,OAK,NYY,W 2-0,39,36,2,9,4,1,1,1,3,1,6,0,0,0,1,1,0,0,-0.263,-2.983,1.010,10,10,"56,684",204
1208,2001-10-11,ALDS,2,SEA,CLE,W 5-1,31,29,5,6,0,0,3,5,2,0,8,0,0,0,0,1,1,0,0.248,0.885,.274,2,10,"48,052",161
1209,2001-10-10,NLDS,2,ARI,STL,L 1-4,33,31,1,5,0,0,0,1,1,0,9,0,1,0,0,0,0,0,-0.467,-4.114,1.020,5,17,"41,793",195
1210,2001-10-10,NLDS,2,ATL,HOU,W 1-0,35,31,1,7,2,0,0,0,3,1,5,1,0,0,1,1,1,0,-0.387,-4.014,1.072,7,10,"35,704",161
1211,2001-10-10,NLDS,2,HOU,ATL,L 0-1,32,30,0,7,0,0,0,0,2,0,3,0,0,0,0,3,0,1,-0.888,-5.014,1.692,5,15,"35,704",161
1212,2001-10-10,ALDS,1,NYY,OAK,L 3-5,36,36,3,10,1,0,1,3,0,0,7,0,0,0,1,1,1,1,-0.437,-1.985,1.128,6,9,"56,697",225
1213,2001-10-10,ALDS,1,OAK,NYY,W 5-3,42,35,5,10,2,0,3,5,4,0,3,1,0,2,1,0,2,0,0.063,0.015,.886,10,10,"56,697",225
1214,2001-10-10,NLDS,2,STL,ARI,W 4-1,37,31,4,7,1,0,1,4,3,0,9,0,2,1,2,2,0,0,0.034,-1.113,.602,6,13,"41,793",195
1215,2001-10-09,NLDS,1,ARI,STL,W 1-0,36,31,1,8,3,0,0,1,3,1,7,1,1,0,0,0,0,0,-0.285,-3.546,1.124,11,9,"42,251",156
1216,2001-10-09,NLDS,1,ATL,HOU,W 7-4,38,37,7,13,2,0,3,7,0,0,9,0,0,1,1,1,0,2,0.437,1.986,1.112,4,16,"35,553",171
1217,2001-10-09,ALDS,1,CLE,SEA,W 5-0,40,38,5,11,2,0,1,5,2,0,13,0,0,0,0,0,0,0,0.141,0.369,.664,8,10,"48,033",185
1218,2001-10-09,NLDS,1,HOU,ATL,L 4-7,36,32,4,6,0,0,2,4,4,0,6,0,0,0,1,2,0,0,-0.064,-1.015,1.045,5,15,"35,553",171
1219,2001-10-09,ALDS,1,SEA,CLE,L 0-5,33,31,0,6,2,0,0,0,2,0,12,0,0,0,0,1,1,1,-0.360,-4.634,.699,6,9,"48,033",185
