Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
301,2014-10-15,ALCS,4,BAL,KCR,L 1-2,33,29,1,4,0,0,1,1,4,0,8,0,0,0,0,2,0,0,-0.627,-3.349,1.541,5,11,"40,468",176
302,2014-10-15,ALCS,4,KCR,BAL,W 2-1,36,28,2,5,1,0,0,1,5,2,6,2,1,0,0,0,0,0,-0.128,-1.866,.953,10,11,"40,468",176
303,2014-10-15,NLCS,4,SFG,STL,W 6-4,40,32,6,11,2,0,0,6,6,0,5,0,1,1,0,2,1,0,0.497,2.642,1.338,10,19,"43,147",233
304,2014-10-15,NLCS,4,STL,SFG,L 4-6,39,35,4,11,3,0,1,3,4,0,8,0,0,0,0,3,0,0,-0.002,0.221,1.029,8,17,"43,147",233
305,2014-10-14,ALCS,3,BAL,KCR,L 1-2,32,30,1,3,2,0,0,1,2,0,5,0,0,0,0,0,0,0,-0.592,-3.349,1.150,4,9,"40,183",175
306,2014-10-14,ALCS,3,KCR,BAL,W 2-1,30,28,2,7,0,0,0,2,1,0,5,0,0,1,0,1,0,0,-0.092,-1.867,1.159,4,10,"40,183",175
307,2014-10-14,NLCS,3,SFG,STL,W 5-4,37,33,5,6,2,0,0,4,2,1,4,1,1,0,1,0,0,0,0.288,2.181,.981,5,15,"42,716",190
308,2014-10-14,NLCS,3,STL,SFG,L 4-5,39,38,4,9,1,1,1,4,0,0,7,1,0,0,0,1,0,0,-0.214,-0.199,1.191,5,15,"42,716",190
309,2014-10-12,NLCS,2,SFG,STL,L 4-5,40,35,4,10,2,0,0,3,4,0,7,0,1,0,0,1,0,0,0.241,0.025,2.023,9,19,"46,262",221
310,2014-10-12,NLCS,2,STL,SFG,W 5-4,34,29,5,8,0,0,4,5,4,1,5,0,1,0,0,1,0,1,0.740,1.465,1.161,5,16,"46,262",221
311,2014-10-11,ALCS,2,BAL,KCR,L 4-6,41,36,4,9,1,0,1,4,4,0,6,0,0,1,1,0,0,0,-0.134,-0.308,1.539,10,9,"46,912",257
312,2014-10-11,ALCS,2,KCR,BAL,W 6-4,41,38,6,13,3,0,1,6,2,0,8,0,1,0,1,1,1,1,0.367,1.693,1.221,8,12,"46,912",257
313,2014-10-11,NLCS,1,SFG,STL,W 3-0,40,35,3,8,1,0,0,2,4,0,4,0,0,1,1,0,0,0,0.095,-0.975,.842,10,12,"47,201",203
314,2014-10-11,NLCS,1,STL,SFG,L 0-3,33,30,0,4,0,0,0,0,1,0,7,1,1,0,0,0,0,0,-0.404,-3.976,.925,6,14,"47,201",203
315,2014-10-10,ALCS,1,BAL,KCR,L 6-8,46,43,6,14,2,0,0,6,3,0,10,0,0,0,0,1,2,0,-0.148,1.213,1.577,10,12,"47,124",277
316,2014-10-10,ALCS,1,KCR,BAL,W 8-6,47,38,8,12,2,0,3,8,7,0,9,1,0,1,0,1,0,1,0.353,3.214,1.341,9,10,"47,124",277
317,2014-10-07,NLDS,4,LAD,STL,L 2-3,38,31,2,8,0,0,0,1,5,0,6,1,1,0,0,2,0,0,-0.290,-1.976,1.378,9,13,"46,906",185
318,2014-10-07,NLDS,4,SFG,WSN,W 3-2,37,33,3,9,0,0,0,2,3,1,2,0,1,0,1,0,0,0,0.175,-0.359,1.260,10,15,"43,464",195
319,2014-10-07,NLDS,4,STL,LAD,W 3-2,30,27,3,4,0,0,1,3,2,0,11,1,0,0,0,1,0,0,0.211,-0.534,1.027,3,16,"46,906",185
320,2014-10-07,NLDS,4,WSN,SFG,L 2-3,34,31,2,4,1,0,1,2,3,0,6,0,0,0,0,0,0,0,-0.326,-1.778,1.288,5,16,"43,464",195
321,2014-10-06,NLDS,3,LAD,STL,L 1-3,35,33,1,7,1,1,0,1,1,0,10,0,1,0,0,0,1,0,-0.381,-2.977,1.382,7,14,"47,574",184
322,2014-10-06,NLDS,3,SFG,WSN,L 1-4,35,31,1,6,1,0,0,1,3,0,4,0,0,1,0,0,0,1,-0.428,-2.778,1.068,7,12,"43,627",167
323,2014-10-06,NLDS,3,STL,LAD,W 3-1,35,32,3,11,3,0,2,3,2,1,5,0,1,0,0,2,0,0,0.120,-0.534,.928,8,13,"47,574",184
324,2014-10-06,NLDS,3,WSN,SFG,W 4-1,36,34,4,7,0,0,1,2,1,0,7,0,1,0,1,0,0,0,0.071,0.222,.878,5,13,"43,627",167
325,2014-10-05,ALDS,3,BAL,DET,W 2-1,34,31,2,5,0,0,1,2,2,0,7,1,0,0,0,0,1,0,-0.088,-2.217,.792,5,10,"43,013",221
Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
326,2014-10-05,ALDS,3,DET,BAL,L 1-2,35,32,1,4,3,0,0,1,3,1,7,0,0,0,1,1,1,0,-0.589,-3.220,1.574,7,13,"43,013",221
327,2014-10-05,ALDS,3,KCR,LAA,W 8-3,38,32,8,9,1,0,2,8,5,0,7,0,0,1,0,0,1,0,0.417,4.136,.484,6,10,"40,657",218
328,2014-10-05,ALDS,3,LAA,KCR,L 3-8,38,35,3,8,2,0,2,3,2,0,11,1,0,0,0,0,1,0,-0.083,-1.349,.652,8,10,"40,657",218
329,2014-10-04,NLDS,2,LAD,STL,W 3-2,35,33,3,8,1,0,1,3,2,1,11,0,0,0,1,0,0,0,0.275,-0.394,.790,8,13,"54,599",207
330,2014-10-04,NLDS,2,SFG,WSN,W 2-1,63,57,2,8,2,0,1,2,4,1,14,0,2,0,0,0,0,1,-1.066,-6.272,1.809,7,20,"44,035",383
331,2014-10-04,NLDS,2,STL,LAD,L 2-3,35,31,2,5,2,0,1,2,3,1,9,1,0,0,0,1,0,0,-0.227,-1.818,1.369,6,12,"54,599",207
332,2014-10-04,NLDS,2,WSN,SFG,L 1-2,66,62,1,9,1,0,0,1,4,1,20,0,0,0,0,1,2,0,-1.564,-7.274,1.530,11,21,"44,035",383
333,2014-10-03,ALDS,2,BAL,DET,W 7-6,36,33,7,9,1,0,1,7,2,0,6,1,0,0,0,0,0,0,0.673,3.172,1.346,5,12,"48,058",221
334,2014-10-03,ALDS,2,DET,BAL,L 6-7,36,35,6,10,2,0,2,6,1,0,9,0,0,0,0,1,1,0,0.171,1.691,.829,3,13,"48,058",221
335,2014-10-03,ALDS,2,KCR,LAA,W 4-1,44,40,4,8,0,0,1,4,3,1,10,0,1,0,0,0,3,0,-0.127,-0.847,1.276,7,12,"45,361",228
336,2014-10-03,ALDS,2,LAA,KCR,L 1-4,38,36,1,6,1,0,0,1,2,0,7,0,0,0,1,2,0,1,-0.630,-3.848,1.356,4,12,"45,361",228
337,2014-10-03,NLDS,1,LAD,STL,L 9-10,47,40,9,16,2,0,2,9,4,0,9,1,2,0,0,1,1,0,0.273,5.183,1.106,11,15,"54,265",237
338,2014-10-03,NLDS,1,SFG,WSN,W 3-2,40,37,3,12,1,1,0,3,1,0,4,1,1,0,0,1,2,1,-0.036,-1.137,1.031,10,17,"44,035",235
339,2014-10-03,NLDS,1,STL,LAD,W 10-9,38,36,10,10,1,0,3,10,1,0,12,0,1,0,0,0,0,0,0.772,6.183,1.025,1,19,"54,265",237
340,2014-10-03,NLDS,1,WSN,SFG,L 2-3,36,32,2,6,1,0,2,2,4,0,6,0,0,0,0,1,0,0,-0.537,-2.138,1.712,7,16,"44,035",235
341,2014-10-02,ALDS,1,BAL,DET,W 12-3,39,35,12,12,3,0,2,11,3,1,6,1,0,0,1,1,1,0,0.250,8.172,.597,3,9,"47,842",222
342,2014-10-02,ALDS,1,DET,BAL,L 3-12,37,34,3,8,0,0,3,3,3,0,10,0,0,0,0,0,0,0,-0.251,-1.308,1.014,7,10,"47,842",222
343,2014-10-02,ALDS,1,KCR,LAA,W 3-2,39,34,3,4,2,0,1,3,4,1,9,0,0,1,0,1,1,0,-0.150,-1.849,1.380,3,11,"45,321",245
344,2014-10-02,ALDS,1,LAA,KCR,L 2-3,43,35,2,4,0,0,2,2,5,0,7,1,2,0,0,0,0,0,-0.649,-2.847,1.834,8,10,"45,321",245
