Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
34,2018-10-12,NLCS,1,MIL,LAD,W 6-5,38,33,6,11,1,0,2,6,3,0,8,0,0,1,1,2,1,0,0.282,2.053,.779,8,18,"43,615",242
35,2018-10-09,ALDS,4,BOS,NYY,W 4-3,41,35,4,8,2,0,1,4,4,1,12,1,0,1,1,0,1,0,0.104,-0.782,.649,10,9,"49,641",208
36,2018-10-09,ALDS,4,NYY,BOS,L 3-4,35,30,3,5,2,0,0,3,2,0,4,1,0,2,0,0,0,0,-0.397,-1.783,1.429,5,11,"49,641",208
37,2018-10-08,NLDS,4,ATL,LAD,L 2-6,39,33,2,6,0,0,0,2,5,0,6,0,1,0,1,0,0,0,-0.147,-2.350,1.038,10,18,"39,586",222
38,2018-10-08,ALDS,3,BOS,NYY,W 16-1,53,44,16,18,3,1,1,15,8,0,4,0,0,1,0,0,2,0,0.336,11.218,.386,10,11,"49,657",221
39,2018-10-08,ALDS,3,CLE,HOU,L 3-11,34,30,3,7,1,0,1,2,2,0,6,0,1,1,0,2,0,0,-0.136,-1.783,.703,4,11,"37,252",242
40,2018-10-08,ALDS,3,HOU,CLE,W 11-3,50,41,11,13,3,0,3,10,8,2,14,1,0,0,1,0,0,0,0.367,6.218,1.081,12,13,"37,252",242
41,2018-10-08,NLDS,4,LAD,ATL,W 6-2,41,33,6,8,1,0,1,6,7,1,10,0,1,0,0,0,3,0,0.353,1.650,.935,8,17,"39,586",222
42,2018-10-08,ALDS,3,NYY,BOS,L 1-16,33,31,1,5,0,0,0,1,1,0,7,0,1,0,0,0,0,0,-0.164,-3.784,.384,5,11,"49,657",221
43,2018-10-07,NLDS,3,ATL,LAD,W 6-5,32,28,6,4,0,0,2,6,4,1,11,0,0,0,0,0,0,0,0.260,2.132,.815,2,17,"42,385",216
44,2018-10-07,NLDS,3,COL,MIL,L 0-6,34,31,0,4,2,0,0,0,3,0,8,0,0,0,0,0,0,0,-0.432,-5.093,.828,7,17,"49,658",194
45,2018-10-07,NLDS,3,LAD,ATL,L 5-6,41,31,5,7,1,0,2,4,9,0,8,0,1,0,0,2,0,0,-0.242,0.652,1.997,9,17,"42,385",216
46,2018-10-07,NLDS,3,MIL,COL,W 6-0,41,36,6,12,2,0,3,4,5,1,8,0,0,0,0,2,1,0,0.070,0.907,.617,8,18,"49,658",194
47,2018-10-06,ALDS,2,BOS,NYY,L 2-6,34,31,2,5,1,0,1,2,3,0,6,0,0,0,0,1,1,0,-0.319,-2.783,.761,5,12,"39,151",211
48,2018-10-06,ALDS,2,CLE,HOU,L 1-3,32,30,1,3,0,0,1,1,2,0,14,0,0,0,0,0,0,0,-0.427,-3.419,.946,4,9,"43,520",192
49,2018-10-06,ALDS,2,HOU,CLE,W 3-1,36,31,3,9,1,0,1,3,4,2,7,0,1,0,0,1,1,0,0.072,-0.926,1.233,9,12,"43,520",192
50,2018-10-06,ALDS,2,NYY,BOS,W 6-2,41,34,6,8,0,0,3,6,7,0,7,0,0,0,1,2,0,0,0.180,1.216,.646,8,11,"39,151",211
Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
51,2018-10-05,NLDS,2,ATL,LAD,L 0-3,30,29,0,3,1,0,0,0,0,0,4,1,0,0,0,1,0,0,-0.419,-4.258,.770,3,15,"54,452",155
52,2018-10-05,ALDS,1,BOS,NYY,W 5-4,35,30,5,8,1,0,1,5,3,1,7,0,1,1,0,0,1,0,0.199,0.748,.424,6,10,"39,059",221
53,2018-10-05,ALDS,1,CLE,HOU,L 2-7,32,30,2,3,0,0,0,1,2,0,10,0,0,0,0,0,0,0,-0.297,-2.420,.797,3,9,"43,514",216
54,2018-10-05,NLDS,2,COL,MIL,L 0-4,36,33,0,6,0,0,0,0,3,0,10,0,0,0,0,0,1,0,-0.591,-4.440,1.276,9,16,"44,547",225
55,2018-10-05,ALDS,1,HOU,CLE,W 7-2,36,32,7,12,2,0,4,7,2,0,3,2,0,0,0,2,0,1,0.202,3.073,.616,5,11,"43,514",216
56,2018-10-05,NLDS,2,LAD,ATL,W 3-0,31,28,3,5,1,0,2,3,3,0,7,0,0,0,0,0,2,1,0.082,-0.785,.503,4,11,"54,452",155
57,2018-10-05,NLDS,2,MIL,COL,W 4-0,36,32,4,9,3,0,0,4,4,0,10,0,0,0,0,0,2,1,-0.089,0.053,1.024,8,16,"44,547",225
58,2018-10-05,ALDS,1,NYY,BOS,L 4-5,41,36,4,10,0,0,1,4,5,0,13,0,0,0,0,1,0,0,-0.300,-0.782,1.265,10,10,"39,059",221
59,2018-10-04,NLDS,1,ATL,LAD,L 0-6,33,33,0,6,0,0,0,0,0,0,11,0,0,0,1,0,0,1,-0.253,-4.258,.434,6,16,"50,947",193
60,2018-10-04,NLDS,1,COL,MIL,L 2-3,35,32,2,4,0,1,0,2,2,0,12,0,0,1,1,0,0,2,-0.320,-2.932,1.596,3,19,"43,382",244
61,2018-10-04,NLDS,1,LAD,ATL,W 6-0,37,27,6,5,1,0,3,6,8,0,10,1,0,1,0,1,3,0,0.246,2.213,.423,7,13,"50,947",193
62,2018-10-04,NLDS,1,MIL,COL,W 3-2,42,35,3,7,0,0,1,3,7,2,7,0,0,0,0,0,2,0,0.179,-1.501,1.042,10,19,"43,382",244
63,2018-10-03,ALWC,1,NYY,OAK,W 7-2,34,29,7,7,2,1,2,7,4,0,6,0,0,1,0,1,1,0,0.145,2.747,.446,3,12,"49,620",205
64,2018-10-03,ALWC,1,OAK,NYY,L 2-7,38,33,2,5,0,0,1,2,5,0,13,0,0,0,1,0,0,0,-0.355,-2.784,.939,9,10,"49,620",205
65,2018-10-02,NLWC,1,CHC,COL,L 1-2,50,43,1,6,1,0,0,1,5,1,16,0,1,0,0,1,2,0,-1.085,-5.718,2.083,10,23,"40,151",295
66,2018-10-02,NLWC,1,COL,CHC,W 2-1,52,48,2,11,3,0,0,2,3,0,13,0,0,1,0,1,0,0,-0.585,-4.719,1.705,11,20,"40,151",295
67,2017-11-01,WS,7,HOU,LAD,W 5-1,37,33,5,5,2,0,1,4,4,2,9,0,0,0,1,0,2,0,0.263,0.540,.378,5,15,"54,124",217
68,2017-11-01,WS,7,LAD,HOU,L 1-5,38,32,1,6,1,0,0,1,2,0,9,4,0,0,0,0,0,0,-0.239,-3.459,.913,10,16,"54,124",217
69,2017-10-31,WS,6,HOU,LAD,L 1-3,36,33,1,6,1,0,1,1,2,1,9,1,0,0,0,0,0,0,-0.432,-3.459,1.262,8,15,"54,128",202
70,2017-10-31,WS,6,LAD,HOU,W 3-1,31,28,3,5,1,0,1,3,1,0,12,1,0,1,0,0,0,0,0.071,-0.963,.935,4,16,"54,128",202
71,2017-10-29,WS,5,HOU,LAD,W 13-12,47,41,13,14,3,0,5,13,5,0,6,1,0,0,0,2,0,0,1.311,8.576,1.178,5,11,"43,300",317
72,2017-10-29,WS,5,LAD,HOU,L 12-13,51,44,12,14,5,1,2,11,6,0,12,1,0,0,0,0,0,1,0.810,7.147,1.493,9,11,"43,300",317
73,2017-10-28,WS,4,HOU,LAD,L 2-6,30,28,2,2,0,0,2,2,2,0,4,0,0,0,0,1,0,0,-0.351,-2.368,.834,1,9,"43,322",186
74,2017-10-28,WS,4,LAD,HOU,W 6-2,36,32,6,7,2,0,1,6,2,1,9,1,0,1,0,0,0,1,0.150,1.631,1.381,3,10,"43,322",186
75,2017-10-27,WS,3,HOU,LAD,W 5-3,41,36,5,12,4,0,1,4,4,1,6,0,0,1,1,0,0,0,0.192,1.117,.633,12,9,"43,282",226
Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
76,2017-10-27,WS,3,LAD,HOU,L 3-5,34,29,3,4,2,0,0,1,5,0,7,0,0,0,0,1,1,0,-0.309,-1.369,.963,4,12,"43,282",226
77,2017-10-25,WS,2,HOU,LAD,W 7-6,49,43,7,14,3,0,4,7,5,2,8,0,1,0,0,3,1,0,0.743,1.551,1.426,9,16,"54,293",259
78,2017-10-25,WS,2,LAD,HOU,L 6-7,41,38,6,5,0,0,4,6,3,0,11,0,0,0,1,1,0,0,0.243,0.549,1.303,2,22,"54,293",259
79,2017-10-24,WS,1,HOU,LAD,L 1-3,30,30,1,3,0,0,1,1,0,0,12,0,0,0,0,0,0,0,-0.448,-3.460,.986,2,12,"54,253",148
80,2017-10-24,WS,1,LAD,HOU,W 3-1,29,26,3,6,0,0,2,3,2,0,5,0,1,0,0,2,0,0,0.053,-0.964,.733,2,12,"54,253",148
81,2017-10-21,ALCS,7,HOU,NYY,W 4-0,36,33,4,10,1,0,2,4,3,0,4,0,0,0,0,1,0,0,0.126,0.115,.798,8,9,"43,201",189
